ISO,inv_sce,nNodes,ny,ensid,in_sample_year_list,num_rep_days,RPS,line limit rate,CRM reserve,run time(s),greenfield_vRE,greenfield_thermal,greenfield_line,greenfield_storage,VRE_expansion_allowed,thermal_expansion_allowed,line_expansion_allowed,storage_expansion_allowed,total system cost,vRE_est_cost,vRE_FOM_cost,solar-UPV_total_cap,solar-UPV_new_cap,solar-UPV_FOM_cost,solar-UPV_gen,solar-UPV_est_cost,wind-onshore_total_cap,wind-onshore_new_cap,wind-onshore_FOM_cost,wind-onshore_gen,wind-onshore_est_cost,thermal_est_cost,thermal_FOM_cost,thermal_VOM_cost,CCGT_total_cap,CCGT_new_cap,CCGT_FOM_cost,CCGT_gen,CCGT_est_cost,gas fuel cost,Line_total_cap,Line_new_cap,Line_num,Line_FOM_cost,Line_est_cost,Line_flow,storage_total_cap,storage_new_cap,storage_FOM_cost,storage_est_cost,shed load,shedding cost,total generation,storage_charge,storage_discharge,total demand
ERCOT,historic,214,2,0,"[np.int64(2001), np.int64(2006)]",730,1,100,0,15328.78732,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1.06E+11,25575001407,6177765002,98494.52595,98494.52595,2363868623,277961029.6,10839715791,119184.2618,119184.2618,3813896379,535772062,14735285616,0,0,0,0,0,0,0,0,0,414948.6299,414948.6299,459,0,1707166350,3575046300,77445.60344,77445.60344,3730941946,15567353234,0.000784562,78.45616324,813733091.7,635913548.3,538209890.4,716029433.7
ERCOT,historic,214,2,1,"[np.int64(2001), np.int64(2012)]",730,1,100,0,17325.75027,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1.05E+11,25935278521,6276943347,97172.62025,97172.62025,2332142886,267570207,10694234791,123275.0144,123275.0144,3944800461,540981545.1,15241043730,0,0,0,0,0,0,0,0,0,467698.8977,467698.8977,459,0,1822631232,3739343622,74294.12327,74294.12327,3579119389,14933873697,0.000887906,88.79063227,808551752.1,591808694.1,500942148.4,717685206.5
ERCOT,historic,214,2,2,"[np.int64(2001), np.int64(2002)]",730,1,100,0,16824.74717,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1.03E+11,24973165258,6041190202,94214.27161,94214.27161,2261142519,272681497.7,10368656714,118126.4901,118126.4901,3780047683,535911077.6,14604508544,0,0,0,0,0,0,0,0,0,424515.2048,424515.2048,459,0,1727877420,3732819566,76029.1876,76029.1876,3662706113,15282639257,0.000945901,94.59005515,808592575.2,607359321.9,514013483.5,715246736.8
ERCOT,historic,214,2,3,"[np.int64(2001), np.int64(2009)]",730,1,100,0,18176.61569,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1.17E+11,26779939326,6451145356,107076.6227,107076.6227,2569838944,289110119.9,11784209795,121290.8254,121290.8254,3881306413,543413903,14995729531,0,0,0,0,0,0,0,0,0,456957.8451,456957.8451,459,0,1677138413,4304174011,88066.98236,88066.98236,4242626875,17702358323,34058.37831,3405837831,832524022.9,737923000.1,624622279.4,719257360.7
ERCOT,historic,214,2,4,"[np.int64(2001), np.int64(2017)]",730,1,100,0,13333.18047,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1.08E+11,26669174547,6387093540,114965.7863,114965.7863,2759178872,302558718.6,12652443751,113372.3334,113372.3334,3627914668,509756763.4,14016730796,0,0,0,0,0,0,0,0,0,428076.7682,428076.7682,459,0,1626518120,3666864973,77373.95391,77373.95391,3727490230,15552950951,0.002179534,217.9533961,812315482,636475423.9,538690890.9,714530949
ERCOT,historic,214,2,5,"[np.int64(2001), np.int64(2004)]",730,1,100,0,18923.17518,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1.10E+11,24092222300,5663088284,127679.1325,127679.1325,3064299179,419977453.1,14051598248,81212.15952,81212.15952,2598789105,388763392.2,10040624053,0,0,0,0,0,0,0,0,0,432058.1658,432058.1658,459,0,1770309405,3961102229,93502.498,93502.498,4504482841,18794952197,0.002064205,206.4204598,808740845.4,629273398.4,532616414.5,712083861.4
ERCOT,historic,214,2,6,"[np.int64(2001), np.int64(2014)]",730,1,100,0,19943.37852,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1.01E+11,23904586793,5837798940,77896.26186,77896.26186,1869510285,233941684.9,8572794595,124009.0205,124009.0205,3968288655,568814842.3,15331792197,0,0,0,0,0,0,0,0,0,470613.7628,470613.7628,459,0,1802227270,4275693198,76552.40008,76552.40008,3687911874,15387810283,0.000871289,87.12888472,802756527.2,546498746.8,462633471.8,718891252.2
ERCOT,historic,214,2,7,"[np.int64(2001), np.int64(2016)]",730,1,100,0,19652.30143,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1.12E+11,27005529634,6458331207,118493.1626,118493.1626,2843835902,324356813.9,13040645590,112952.9783,112952.9783,3614495305,491983172.5,13964884044,0,0,0,0,0,0,0,0,0,357403.3054,357403.3054,459,0,1401937569,3274118222,84373.76665,84373.76665,4064706208,16959984437,0.009193112,919.3111505,816339986.4,662215179.8,560524473.4,714649279.9
ERCOT,historic,214,2,8,"[np.int64(2001), np.int64(2018)]",730,1,100,0,22647.36752,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1.24E+11,29037738740,6957057765,124572.3101,124572.3101,2989735443,312420279.8,13709680049,123978.8225,123978.8225,3967322321,530015885.1,15328058690,0,0,0,0,0,0,0,0,0,398530.3639,398530.3639,459,0,1541156490,3648730026,93282.37575,93282.37575,4493878452,18750705389,26487.15977,2648715977,842436164.9,759906281.6,643220770.1,725777140.6
ERCOT,historic,214,2,9,"[np.int64(2006), np.int64(2012)]",730,1,100,0,17954.90135,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1.03E+11,26185595290,6370023647,90864.59638,90864.59638,2180750313,242443351,10000011582,130914.7917,130914.7917,4189273333,565585609.4,16185583708,0,0,0,0,0,0,0,0,0,416237.9471,416237.9471,459,0,1641159199,3556091425,69003.9653,69003.9653,3324266029,13870498191,0.000833914,83.39144099,808028960.3,572990667.8,484986151.2,720024443.8
