index,STATE,FIPS,COUNTYNAME,area_km2,city,lat,lon,population
0,TX,48001,Anderson,2791.516,Palestine,31.7544,-95.6471,21957
1,TX,48003,Andrews,3887.684,Andrews,32.3207,-102.552,14021
2,TX,48005,Angelina,2239.303,Lufkin,31.3217,-94.7277,49465
3,TX,48007,Aransas,677.087,Rockport,28.029,-97.0722,13082
4,TX,48009,Archer,2397.82,Holliday,33.8141,-98.6899,5501
5,TX,48011,Armstrong,2366.66,Claude,35.1075,-101.3629,1470
6,TX,48013,Atascosa,3200.387,Pleasanton,28.9642,-98.4957,22710
7,TX,48015,Austin,1699.981,Sealy,29.7662,-96.163,15150
8,TX,48019,Bandera,2065.672,Lakehills,29.6237,-98.9448,7669
9,TX,48021,Harriss,4553.042,Elgin,30.3526,-97.3883,49508
10,TX,48023,Baylor,2333.949,Seymour,33.5958,-99.258,2607
11,TX,48025,Bee,2279.973,Beeville,28.4053,-97.749,16487
12,TX,48027,Bell,2817.891,Killeen,31.0753,-97.7297,463894
13,TX,48029,Bexar,3255.105,San Antonio,29.4632,-98.5238,2337598
14,TX,48031,Blanco,1847.815,Blanco,30.0987,-98.4169,4383
15,TX,48033,Borden,2346.725,Gail,32.767,-101.4465,323
16,TX,48035,Bosque,2596.895,Clifton,31.7822,-97.5824,9892
17,TX,48039,Brazoria,3726.013,Pearland,29.5581,-95.3218,275116
18,TX,48041,Brazos,1528.697,College Station,30.5852,-96.2959,304592
19,TX,48043,Brewster,16039.676,Alpine,30.364,-103.665,6584
20,TX,48045,Briscoe,2335.189,Silverton,34.4714,-101.304,852
21,TX,48047,Brooks,2444.049,Falfurrias,27.2243,-98.1452,4731
22,TX,48049,Brown,2478.451,Brownwood,31.7127,-98.9767,26995
23,TX,48051,Burleson,1755.496,Caldwell,30.5307,-96.7007,7843
24,TX,48053,Burnet,2644.055,Marble Falls,30.5649,-98.2768,25816
25,TX,48055,Caldwell,1417.525,Lockhart,29.8785,-97.6831,21284
26,TX,48057,Calhoun,1399.104,Port Lavaca,28.6181,-96.6278,14485
27,TX,48059,Callahan,2334.303,Clyde,32.4056,-99.5039,6716
28,TX,48061,Cameron,2494.646,Brownsville,25.9975,-97.458,441091
29,TX,48065,Carson,2393.46,Panhandle,35.3461,-101.3804,4678
30,TX,48069,Castro,2329.252,Dimmitt,34.5324,-102.3111,5274
31,TX,48071,Chambers,1630.791,Mont Belvieu,29.8518,-94.8775,22035
32,TX,48073,Cherokee,2750.314,Jacksonville,31.9642,-95.2617,24996
33,TX,48075,Childress,1848.397,Childress,34.4293,-100.2516,5964
34,TX,48077,Clay,2890.869,Henrietta,33.8146,-98.1924,4885
35,TX,48081,Coke,2403.387,Bronte,31.8857,-100.2955,2131
36,TX,48083,Coleman,3319.141,Coleman,31.8317,-99.4223,5390
37,TX,48085,Collin,2294.416,Plano,33.0502,-96.7486,1055519
38,TX,48087,Collingsworth,2381.126,Wellington,34.8538,-100.214,2085
39,TX,48089,Colorado,2521.84,Columbus,29.7056,-96.5571,11900
40,TX,48091,Comal,1488.084,New Braunfels,29.6994,-98.1148,142291
41,TX,48093,Comanche,2454.322,Comanche,31.9005,-98.6043,7288
42,TX,48095,Concho,2573.761,Eden,31.2163,-99.844,2154
43,TX,48097,Cooke,2327.89,Gainesville,33.639,-97.1487,24912
44,TX,48099,Coryell,2736.988,Copperas Cove,31.1192,-97.914,80890
45,TX,48101,Cottle,2334.794,Paducah,34.0144,-100.3038,953
46,TX,48103,Crane,2034.618,Crane,31.3918,-102.3503,3304
47,TX,48105,Crockett,7271.209,Ozona,30.7074,-101.206,2485
48,TX,48107,Crosby,2335.263,Crosbyton,33.6413,-101.2377,4085
49,TX,48109,Culberson,9875.971,Van Horn,31.0407,-104.8341,1965
50,TX,48113,Dallas,2353.171,Dallas,32.7935,-96.7667,7438581
51,TX,48115,Dawson,2336.508,Lamesa,32.7333,-101.9541,8803
52,TX,48117,Deaf Smith,3880.2,Hereford,34.8225,-102.4001,14874
53,TX,48119,Delta,719.51,Cooper,33.3716,-95.6912,2338
54,TX,48121,Denton,2480.85,Denton,33.2175,-97.1418,943058
55,TX,48123,DeWitt,2358.385,Cuero,29.1023,-97.2871,10625
56,TX,48125,Dickens,2344.724,Spur,33.4703,-100.8556,971
57,TX,48127,Dimmit,3456.04,Carrizo Springs,28.5267,-99.8589,7312
58,TX,48129,Donley,2416.634,Clarendon,34.9366,-100.8918,2556
59,TX,48131,Duval,4651.157,San Diego,27.7609,-98.2389,7756
60,TX,48133,Eastland,2413.629,Cisco,32.3848,-98.9805,12173
61,TX,48135,Ector,2335.409,Odessa,31.8801,-102.3448,196368
62,TX,48137,Edwards,5490.716,Rocksprings,30.0172,-100.2128,721
63,TX,48139,Ellis,2464.718,Waxahachie,32.4035,-96.8446,138113
64,TX,48143,Erath,2822.524,Stephenville,32.2147,-98.2205,25259
65,TX,48145,Falls,2004.239,Marlin,31.3085,-96.8934,8772
66,TX,48147,Fannin,2328.865,Bonham,33.588,-96.1901,18989
67,TX,48149,Fayette,2486.049,La Grange,29.9129,-96.8768,10043
68,TX,48151,Fisher,2335.472,Rotan,32.8541,-100.4655,1968
69,TX,48153,Floyd,2570.759,Floydada,33.9835,-101.3368,4220
70,TX,48155,Foard,1832.646,Crowell,33.9839,-99.7241,788
71,TX,48157,Fort Bend,2294.976,Sugar Land,29.5935,-95.6358,420443
72,TX,48159,Franklin,763.603,Mount Vernon,33.176,-95.2253,2523
73,TX,48161,Freestone,2310.686,Teague,31.6296,-96.2802,7756
74,TX,48163,Frio,2937.926,Pearsall,28.8915,-99.0975,14081
75,TX,48167,Galveston,1065.757,Galveston,29.2484,-94.8913,499378
76,TX,48169,Garza,2321.125,Post,33.191,-101.3814,4552
