From_fips,To_fips,From_County,To_County,Tx_Capacity_MW,n_circuits,sum_rate_mva,sum_B_pu,x_eq_pu,pf_used_med,kv_min_med,edge_type,From_state,From_zone,From_zone_name,From_interconnect,To_state,To_zone,To_zone_name,To_interconnect,n_links
9110,9130,Capitol,Lower Connecticut River Valley,5039.09,7,5039.09,834.12391,0.001198863,1,7,AC,CT,6,Connecticut,Eastern,CT,6,Connecticut,Eastern,
9110,9140,Capitol,Capitol,3978.73,6,3978.73,724.1698871,0.001380891,1,6,AC,CT,6,Connecticut,Eastern,CT,6,Connecticut,Eastern,
9110,9150,Capitol,Northeastern Connecticut,3607.75,3,3607.75,190.6732339,0.005244575,1,3,AC,CT,6,Connecticut,Eastern,CT,6,Connecticut,Eastern,
9110,9160,Northwest Hills,Capitol,145.89,1,145.89,67.42179072,0.014832,1,1,AC,CT,6,Connecticut,Eastern,CT,6,Connecticut,Eastern,
9110,9170,Capitol,South Central Connecticut,294.13,2,294.13,80.07818576,0.012487795,1,2,AC,CT,6,Connecticut,Eastern,CT,6,Connecticut,Eastern,
9110,9180,Capitol,Southeastern Connecticut,947.12,4,947.12,187.6014649,0.005330449,1,4,AC,CT,6,Connecticut,Eastern,CT,6,Connecticut,Eastern,
9110,25013,Hampden,Capitol,6601.68,13,6601.68,1222.271077,0.000818149,1,13,AC,MA,4,Massachusetts,Eastern,CT,6,Connecticut,Eastern,
9120,9140,Greater Bridgeport,Naugatuck Valley,774.42,5,774.42,390.8351486,0.002558624,1,5,AC,CT,6,Connecticut,Eastern,CT,6,Connecticut,Eastern,
9120,9170,South Central Connecticut,Greater Bridgeport,5607.87,5,5607.87,1170.108805,0.000854621,1,5,AC,CT,6,Connecticut,Eastern,CT,6,Connecticut,Eastern,
9120,9190,Greater Bridgeport,Western Connecticut,6114.5,10,6114.5,1020.290053,0.000980113,1,10,AC,CT,6,Connecticut,Eastern,CT,6,Connecticut,Eastern,
9130,9140,Naugatuck Valley,Lower Connecticut River Valley,2884.84,1,2884.84,203.0869212,0.004924,1,1,AC,CT,6,Connecticut,Eastern,CT,6,Connecticut,Eastern,
9130,9170,South Central Connecticut,Lower Connecticut River Valley,8653.37,9,8653.37,863.0865166,0.001158632,1,9,AC,CT,6,Connecticut,Eastern,CT,6,Connecticut,Eastern,
9130,9180,Lower Connecticut River Valley,Southeastern Connecticut,4991.65,8,4991.65,414.3519279,0.002413407,1,8,AC,CT,6,Connecticut,Eastern,CT,6,Connecticut,Eastern,
9140,9160,Northwest Hills,Naugatuck Valley,3647.37,5,3647.37,511.1775181,0.001956268,1,5,AC,CT,6,Connecticut,Eastern,CT,6,Connecticut,Eastern,
9140,9170,South Central Connecticut,Naugatuck Valley,5756.64,10,5756.64,1079.074414,0.00092672,1,10,AC,CT,6,Connecticut,Eastern,CT,6,Connecticut,Eastern,
9140,9190,Naugatuck Valley,Western Connecticut,4217.65,5,4217.65,404.1109032,0.002474568,1,5,AC,CT,6,Connecticut,Eastern,CT,6,Connecticut,Eastern,
9150,9180,Southeastern Connecticut,Northeastern Connecticut,466.22,3,466.22,122.3030495,0.008176411,1,3,AC,CT,6,Connecticut,Eastern,CT,6,Connecticut,Eastern,
9150,25013,Hampden,Northeastern Connecticut,139.49,1,139.49,8.022784709,0.124645,1,1,AC,MA,4,Massachusetts,Eastern,CT,6,Connecticut,Eastern,
9150,25027,Northeastern Connecticut,Worcester,3699.15,5,3699.15,509.2056421,0.001963843,1,5,AC,CT,4,Massachusetts,Eastern,MA,5,Rhode Island,Eastern,
9150,44007,Northeastern Connecticut,Providence,910.9,6,910.9,331.0275402,0.003020897,1,6,AC,CT,5,Connecticut,Eastern,RI,6,Connecticut,Eastern,
9160,9190,Northwest Hills,Western Connecticut,563.28,1,563.28,67.90249202,0.014727,1,1,AC,CT,6,Connecticut,Eastern,CT,6,Connecticut,Eastern,
9160,25003,Berkshire,Northwest Hills,1519.72,3,1519.72,95.00644376,0.010525602,1,3,AC,MA,4,Massachusetts,Eastern,CT,6,Connecticut,Eastern,
9160,25013,Hampden,Northwest Hills,419.62,3,419.62,56.78922369,0.017608975,1,3,AC,MA,4,Massachusetts,Eastern,CT,6,Connecticut,Eastern,
9180,44009,Washington,Southeastern Connecticut,581.71,4,581.71,189.8272221,0.005267948,1,4,AC,RI,5,Connecticut,Eastern,CT,5,Connecticut,Eastern,
23001,23005,Cumberland,Androscoggin,3782.47,6,3782.47,369.1109392,0.002709213,1,6,AC,ME,1,Maine,Eastern,ME,1,Maine,Eastern,
23001,23007,Androscoggin,Franklin,3215.41,5,3215.41,337.689381,0.002961301,1,5,AC,ME,1,Maine,Eastern,ME,1,Maine,Eastern,
23001,23011,Kennebec,Androscoggin,2895.31,5,2895.31,326.1950042,0.003065651,1,5,AC,ME,1,Maine,Eastern,ME,1,Maine,Eastern,
