index,STATE,FIPS,COUNTYNAME,area_km2,city,lat,lon,population
0,CT,9001,Fairfield,1674,Bridgeport,41.1918,-73.1954,1325645
1,CT,9003,Hartford,1944,Hartford,41.7661,-72.6834,1109927
2,CT,9005,Litchfield,2446,Torrington,41.8349,-73.1282,44826
3,CT,9007,Middlesex,1003,Middletown,41.5476,-72.6549,59514
4,CT,9009,New Haven,1604,New Haven,41.3113,-72.9246,1071648
5,CT,9011,New London,1767,Norwich,41.5495,-72.0882,206016
6,CT,9013,Tolland,1080,Vernon,41.8369,-72.4605,152691
7,CT,9015,Windham,1351,Danielson,41.8086,-71.8854,6445
8,ME,23001,Androscoggin,1273,Lewiston,44.0915,-70.1681,71740
9,ME,23003,Aroostook,17678,Presque Isle,46.6868,-67.9874,17214
10,ME,23005,Cumberland,2394,Portland,43.6773,-70.2715,277538
11,ME,23007,Franklin,4514,Chisholm,44.4916,-70.1923,2230
12,ME,23009,Hancock,4383,Ellsworth,44.5847,-68.4875,8960
13,ME,23011,Kennebec,2465,Augusta,44.3341,-69.7319,44320
14,ME,23013,Knox,985,Rockland,44.1274,-69.1369,6991
15,ME,23015,Lincoln,1245,Waldoboro,44.1014,-69.3897,35169
16,ME,23017,Oxford,5648,South Paris,44.219,-70.5113,3116
17,ME,23019,Penobscot,9210,Bangor,44.8323,-68.7906,53060
18,ME,23021,Piscataquis,11316,Brownville Junction,45.3488,-69.0555,559
19,ME,23023,Sagadahoc,686,Bath,43.9346,-69.8346,8801
20,ME,23025,Somerset,10622,North Anson,44.8614,-69.8975,420
21,ME,23027,Waldo,1956,Belfast,44.4279,-69.0325,6985
22,ME,23029,Washington,7185,Calais,45.134,-67.224,6010
23,ME,23031,York,2636,Biddeford,43.4673,-70.4511,86649
24,MA,25001,Barnstable,1085,South Yarmouth,41.6692,-70.2005,89763
25,MA,25003,Berkshire,2451,Pittsfield,42.4517,-73.2605,57438
26,MA,25005,Bristol,1480,New Bedford,41.6697,-70.9428,390637
28,MA,25009,Essex,1327,Lynn,42.4781,-70.9664,498767
29,MA,25011,Franklin,1877,Turners Falls,42.5975,-72.5573,8607
30,MA,25013,Hampden,1642,Springfield,42.1155,-72.5395,574518
31,MA,25015,Hampshire,1413,Northampton,42.3266,-72.6745,28640
32,MA,25017,Middlesex,2195,Cambridge,42.3759,-71.1185,885539
34,MA,25021,Norfolk,1015,Quincy,42.2506,-71.0187,105840
35,MA,25023,Plymouth,1818,Brockton,42.0821,-71.0242,163980
36,MA,25025,Suffolk,175,Boston,42.3188,-71.0852,4454577
37,MA,25027,Worcester,4090,Worcester,42.2705,-71.8079,687025
38,NH,33001,Belknap,1214,Laconia,43.5725,-71.4775,20151
39,NH,33003,Carroll,2570,North Conway,44.0415,-71.1224,5057
40,NH,33005,Cheshire,1888,Keene,42.9494,-72.2998,24758
41,NH,33007,Coos,4741,Berlin,44.4869,-71.2599,10712
42,NH,33009,Grafton,4531,Lebanon,43.6353,-72.2531,17901
43,NH,33011,Hillsborough,2311,Nashua,42.7491,-71.491,421136
44,NH,33013,Merrimack,2477,Concord,43.2305,-71.5595,65329
45,NH,33015,Rockingham,1882,Portsmouth,43.058,-70.7826,98309
46,NH,33017,Strafford,994,Dover,43.1887,-70.8845,117528
47,NH,33019,Sullivan,1430,Claremont,43.379,-72.3368,13054
48,RI,44003,Kent,452,Warwick,41.7062,-71.4334,83880
49,RI,44005,Newport,280,Newport,41.4801,-71.3203,38131
50,RI,44007,Providence,1114,Providence,41.823,-71.4187,1579882
51,RI,44009,Washington,912,Kingston,41.4738,-71.5236,18515
52,VT,50001,Addison,2094,Vergennes,44.1664,-73.2557,3594
53,VT,50003,Bennington,1755,Manchester Center,43.182,-73.0369,6195
54,VT,50005,Caledonia,1702,Lyndonville,44.5351,-72.0017,2609
55,VT,50007,Chittenden,1605,Burlington,44.4876,-73.2316,160333
56,VT,50009,Essex,1744,Island Pond,44.8125,-71.8862,1347
57,VT,50011,Franklin,1792,St. Albans,44.8119,-73.0849,9294
58,VT,50013,Grand Isle,504,South Hero,44.6479,-73.3017,183
59,VT,50015,Lamoille,1201,Morrisville,44.5583,-72.5933,3811
60,VT,50017,Orange,1791,Wells River,44.1538,-72.0615,339
61,VT,50019,Orleans,1867,Newport,44.9372,-72.209,7870
62,VT,50021,Rutland,2447,Rutland,43.6092,-72.9783,20260
63,VT,50023,Washington,1801,Barre,44.1998,-72.5085,19859
64,VT,50025,Windham,2067,Bellows Falls,43.1344,-72.455,7529
65,VT,50027,Windsor,2530,Wilder,43.6804,-72.3168,9696
