,from_node,to_node,distance_mile,from_lat,from_lon,to_lat,to_lon,is_existing,maxFlow,capacity,susceptance
0,0,32,26.865192237232783,31.7544,-95.6471,31.9642,-95.2617,1,10000,196.0,100
1,0,73,38.20829285869661,31.7544,-95.6471,31.6296,-96.2802,1,10000,442.0,100
2,0,92,32.910699903860824,31.7544,-95.6471,32.2041,-95.8321,1,10000,149.0,100
3,0,97,32.197137878061355,31.7544,-95.6471,31.3177,-95.4564,1,10000,196.0,100
4,0,124,31.96081843892703,31.7544,-95.6471,31.46,-96.066,1,10000,98.0,100
5,1,141,32.76600350833542,32.3207,-102.552,32.0243,-102.1147,1,10000,149.0,100
6,1,208,45.17475123636504,32.3207,-102.552,31.854,-103.0924,1,10000,149.0,100
7,2,97,43.015020097586834,31.3217,-94.7277,31.3177,-95.4564,1,10000,247.0,100
8,2,146,92.0219406463752,31.3217,-94.7277,30.1738,-95.5134,1,10000,647.0,100
9,2,148,20.633486709412615,31.3217,-94.7277,31.6134,-94.6528,1,10000,762.0,100
10,3,26,48.86286933098112,28.029,-97.0722,28.6181,-96.6278,1,10000,149.0,100
11,3,165,22.861723198128693,28.029,-97.0722,28.3074,-97.275,1,10000,170.0,100
12,3,171,18.168770545722115,28.029,-97.0722,27.8942,-97.3278,1,10000,149.0,100
13,4,187,59.06848220200523,33.8141,-98.6899,33.0149,-99.0534,1,10000,187.0,100
14,4,203,11.247677807292648,33.8141,-98.6899,33.9072,-98.5291,1,10000,187.0,100
15,4,211,49.64673012893383,33.8141,-98.6899,33.1017,-98.5779,1,10000,432.0,100
16,6,13,34.521315952518464,28.9642,-98.4957,29.4632,-98.5238,1,10000,519.0,100
17,6,74,36.739604663823165,28.9642,-98.4957,28.8915,-99.0975,1,10000,745.0,100
18,6,108,40.24997744283627,28.9642,-98.4957,28.8176,-97.8518,1,10000,592.0,100
19,6,139,48.338553735826316,28.9642,-98.4957,29.3531,-99.1616,1,10000,98.0,100
20,6,207,23.558473204905255,28.9642,-98.4957,29.1451,-98.1651,1,10000,98.0,100
21,7,67,43.96723031788064,29.7662,-96.163,29.9129,-96.8768,1,10000,149.0,100
22,7,71,33.82396279966324,29.7662,-96.163,29.5935,-95.6358,1,10000,370.0,100
23,7,197,19.72489376220778,29.7662,-96.163,29.7905,-95.8353,1,10000,149.0,100
24,7,201,39.67158333420233,29.7662,-96.163,29.2,-96.2723,1,10000,98.0,100
25,8,13,27.631095176857617,29.6237,-98.9448,29.4632,-98.5238,1,10000,98.0,100
26,8,110,17.064539285474787,29.6237,-98.9448,29.7847,-98.7292,1,10000,247.0,100
27,8,139,22.795655393744575,29.6237,-98.9448,29.3531,-99.1616,1,10000,149.0,100
28,9,24,54.915937428619365,30.3526,-97.3883,30.5649,-98.2768,1,10000,2020.0,100
29,9,67,43.097862098488996,30.3526,-97.3883,29.9129,-96.8768,1,10000,1842.0,100
30,9,80,58.14902936508222,30.3526,-97.3883,29.5126,-97.4472,1,10000,98.0,100
31,9,142,30.73714173020935,30.3526,-97.3883,30.6543,-97.0089,1,10000,2020.0,100
32,9,190,22.00038982969821,30.3526,-97.3883,30.3005,-97.7522,1,10000,4157.0,100
33,10,70,37.888784406478784,33.5958,-99.258,33.9839,-99.7241,1,10000,187.0,100
34,10,118,23.45389171164876,33.5958,-99.258,33.4471,-99.624,1,10000,251.0,100
35,11,79,28.407055190827837,28.4053,-97.749,28.6708,-97.3917,1,10000,98.0,100
36,11,108,29.16341408911201,28.4053,-97.749,28.8176,-97.8518,1,10000,98.0,100
37,11,171,43.654367684541306,28.4053,-97.749,27.8942,-97.3278,1,10000,98.0,100
38,12,24,47.93465683437735,31.0753,-97.7297,30.5649,-98.2768,1,10000,2020.0,100
39,12,44,11.318650008227952,31.0753,-97.7297,31.1192,-97.914,1,10000,2207.0,100
40,12,65,51.99237996353919,31.0753,-97.7297,31.3085,-96.8934,1,10000,251.0,100
41,12,87,48.92484061076097,31.0753,-97.7297,31.6997,-98.1208,1,10000,187.0,100
42,12,132,46.29206060453676,31.0753,-97.7297,31.5599,-97.1882,1,10000,2020.0,100
43,12,142,51.71025855386308,31.0753,-97.7297,30.6543,-97.0089,1,10000,3538.0,100
44,12,167,68.57008079369602,31.0753,-97.7297,30.877,-96.5956,1,10000,98.0,100
45,12,206,38.08512986416016,31.0753,-97.7297,30.527,-97.6642,1,10000,336.0,100
46,13,24,77.54595874722496,29.4632,-98.5238,30.5649,-98.2768,1,10000,2020.0,100
47,13,40,29.502716000033807,29.4632,-98.5238,29.6994,-98.1148,1,10000,995.0,100
48,13,84,20.014740084730153,29.4632,-98.5238,29.5634,-98.2115,1,10000,6473.0,100
49,13,110,25.41089730749534,29.4632,-98.5238,29.7847,-98.7292,1,10000,647.0,100
50,13,113,54.02346818467153,29.4632,-98.5238,30.0398,-99.132,1,10000,548.0,100
51,13,139,39.13814215849469,29.4632,-98.5238,29.3531,-99.1616,1,10000,4071.0,100
52,13,195,102.69752291319914,29.4632,-98.5238,28.8287,-96.9849,1,10000,2000.0,100
53,13,200,143.77405939118015,29.4632,-98.5238,27.5625,-99.4874,1,10000,2020.0,100
54,13,207,30.826349951010517,29.4632,-98.5238,29.1451,-98.1651,1,10000,592.0,100
55,14,77,29.709516082370016,30.0987,-98.4169,30.266,-98.8751,1,10000,98.0,100
56,14,91,32.74274151944281,30.0987,-98.4169,29.8734,-97.9356,1,10000,149.0,100
57,14,110,28.64259106285591,30.0987,-98.4169,29.7847,-98.7292,1,10000,98.0,100
58,14,127,39.200995423543375,30.0987,-98.4169,30.6651,-98.4545,1,10000,149.0,100
59,15,51,29.590233981945183,32.767,-101.4465,32.7333,-101.9541,1,10000,196.0,100
60,15,174,31.309105514255705,32.767,-101.4465,32.7133,-100.9116,1,10000,863.0,100
61,16,44,49.80736160482767,31.7822,-97.5824,31.1192,-97.914,1,10000,187.0,100
62,16,64,47.86693645164779,31.7822,-97.5824,32.2147,-98.2205,1,10000,150.0,100
63,16,87,32.14743853676445,31.7822,-97.5824,31.6997,-98.1208,1,10000,187.0,100
