,name,mask,lat,lon,loc_index,FIPS
0,9001_wind_0,0.0,,,0.0,9001.0
1,9001_wind_1,0.0,,,1.0,9001.0
2,9001_wind_2,0.0,,,2.0,9001.0
3,9001_wind_3,0.0,,,3.0,9001.0
4,9001_wind_4,0.0,,,4.0,9001.0
5,9001_wind_5,0.0,,,5.0,9001.0
6,9001_wind_6,0.0,,,6.0,9001.0
7,9001_wind_7,0.0,,,7.0,9001.0
8,9003_wind_0,41.64910992,41.969,-73.015,0.0,9003.0
9,9003_wind_1,0.0,,,1.0,9003.0
10,9003_wind_2,0.0,,,2.0,9003.0
11,9003_wind_3,0.0,,,3.0,9003.0
12,9003_wind_4,0.0,,,4.0,9003.0
13,9003_wind_5,0.0,,,5.0,9003.0
14,9003_wind_6,0.0,,,6.0,9003.0
15,9003_wind_7,0.0,,,7.0,9003.0
16,9005_wind_0,37.080072,41.814,-73.371,0.0,9005.0
17,9005_wind_1,36.77629968,41.946,-73.476,1.0,9005.0
18,9005_wind_2,45.144436320000004,41.919,-73.334,2.0,9005.0
19,9005_wind_3,34.31410272,41.892,-73.193,3.0,9005.0
20,9005_wind_4,32.51011968,42.024,-73.298,4.0,9005.0
21,9005_wind_5,41.40333792,41.997,-73.157,5.0,9005.0
22,9005_wind_6,0.0,,,6.0,9005.0
23,9005_wind_7,0.0,,,7.0,9005.0
24,9007_wind_0,0.0,,,0.0,9007.0
25,9007_wind_1,0.0,,,1.0,9007.0
26,9007_wind_2,0.0,,,2.0,9007.0
27,9007_wind_3,0.0,,,3.0,9007.0
28,9007_wind_4,0.0,,,4.0,9007.0
29,9007_wind_5,0.0,,,5.0,9007.0
30,9007_wind_6,0.0,,,6.0,9007.0
31,9007_wind_7,0.0,,,7.0,9007.0
32,9009_wind_0,0.0,,,0.0,9009.0
33,9009_wind_1,0.0,,,1.0,9009.0
34,9009_wind_2,0.0,,,2.0,9009.0
35,9009_wind_3,0.0,,,3.0,9009.0
36,9009_wind_4,0.0,,,4.0,9009.0
37,9009_wind_5,0.0,,,5.0,9009.0
38,9009_wind_6,0.0,,,6.0,9009.0
39,9009_wind_7,0.0,,,7.0,9009.0
40,9011_wind_0,30.101436,41.506,-71.826,0.0,9011.0
41,9011_wind_1,0.0,,,1.0,9011.0
42,9011_wind_2,0.0,,,2.0,9011.0
43,9011_wind_3,0.0,,,3.0,9011.0
44,9011_wind_4,0.0,,,4.0,9011.0
45,9011_wind_5,0.0,,,5.0,9011.0
46,9011_wind_6,0.0,,,6.0,9011.0
47,9011_wind_7,0.0,,,7.0,9011.0
48,9013_wind_0,0.0,,,0.0,9013.0
49,9013_wind_1,0.0,,,1.0,9013.0
50,9013_wind_2,0.0,,,2.0,9013.0
51,9013_wind_3,0.0,,,3.0,9013.0
52,9013_wind_4,0.0,,,4.0,9013.0
53,9013_wind_5,0.0,,,5.0,9013.0
54,9013_wind_6,0.0,,,6.0,9013.0
55,9013_wind_7,0.0,,,7.0,9013.0
56,9015_wind_0,0.0,,,0.0,9015.0
57,9015_wind_1,0.0,,,1.0,9015.0
58,9015_wind_2,0.0,,,2.0,9015.0
59,9015_wind_3,0.0,,,3.0,9015.0
60,9015_wind_4,0.0,,,4.0,9015.0
61,9015_wind_5,0.0,,,5.0,9015.0
62,9015_wind_6,0.0,,,6.0,9015.0
63,9015_wind_7,0.0,,,7.0,9015.0
64,23001_wind_0,32.316691680000005,44.13,-70.352,0.0,23001.0
65,23001_wind_1,33.82869744,44.069,-70.062,1.0,23001.0
66,23001_wind_2,44.201157120000005,44.233,-70.309,2.0,23001.0
67,23001_wind_3,31.46086368,44.203,-70.164,3.0,23001.0
68,23001_wind_4,29.261917439999998,44.172,-70.02,4.0,23001.0
69,23001_wind_5,48.5651808,44.337,-70.267,5.0,23001.0
70,23001_wind_6,41.4985968,44.307,-70.122,6.0,23001.0
71,23001_wind_7,47.593411200000006,44.441,-70.224,7.0,23001.0
72,23003_wind_0,123.3172656,46.733,-69.899,0.0,23003.0
73,23003_wind_1,125.6605992,46.836,-69.855,1.0,23003.0
