Time,Demand_MW_z1,Demand_MW_z2,Demand_MW_z3,Demand_MW_z4,Demand_MW_z5,Demand_MW_z6,Demand_MW_z7,Demand_MW_z8,Demand_MW_z9,Demand_MW_z10,Demand_MW_z11,Demand_MW_z12,Demand_MW_z13,Demand_MW_z14,Demand_MW_z15,Demand_MW_z16,Demand_MW_z17,Demand_MW_z18,Demand_MW_z19,Demand_MW_z20,Demand_MW_z21,Demand_MW_z22,Demand_MW_z23,Demand_MW_z24,Demand_MW_z25,Demand_MW_z26,Demand_MW_z27,Demand_MW_z28,Demand_MW_z29,Demand_MW_z30,Demand_MW_z31,Demand_MW_z32,Demand_MW_z33,Demand_MW_z34,Demand_MW_z35,Demand_MW_z36,Demand_MW_z37,Demand_MW_z38,Demand_MW_z39,Demand_MW_z40,Demand_MW_z41,Demand_MW_z42,Demand_MW_z43,Demand_MW_z44,Demand_MW_z45,Demand_MW_z46,Demand_MW_z47,Demand_MW_z48,Demand_MW_z49,Demand_MW_z50,Demand_MW_z51,Demand_MW_z52,Demand_MW_z53,Demand_MW_z54,Demand_MW_z55,Demand_MW_z56,Demand_MW_z57,Demand_MW_z58,Demand_MW_z59,Demand_MW_z60,Demand_MW_z61,Demand_MW_z62,Demand_MW_z63,Demand_MW_z64
0,1464.17,1225.91,49.51,65.73,1183.63,227.54,168.65,7.12,79.24,19.01,306.54,2.46,9.9,48.95,7.72,38.84,3.44,58.6,0.62,9.72,0.46,7.71,6.64,95.7,99.14,63.44,431.46,550.89,9.51,634.55,31.63,978.08,116.9,181.12,4920.07,758.82,22.26,5.59,27.35,11.83,19.77,465.14,72.16,108.58,129.81,14.42,92.65,42.12,1744.98,20.45,3.97,6.84,2.88,177.09,1.49,10.27,0.2,4.21,0.37,8.69,22.38,21.93,8.32,10.71
1,1402.89,1174.6,47.44,62.98,1134.09,218.02,161.59,6.82,75.92,18.22,293.71,2.36,9.48,46.9,7.4,37.22,3.3,56.15,0.59,9.31,0.44,7.39,6.36,91.7,94.99,60.78,413.4,527.83,9.11,608.0,30.31,937.14,112.01,173.54,4714.15,727.06,21.33,5.35,26.2,11.34,18.94,445.68,69.14,104.04,124.38,13.81,88.77,40.35,1671.94,19.59,3.8,6.56,2.76,169.68,1.43,9.84,0.19,4.03,0.36,8.33,21.44,21.02,7.97,10.26
2,1340.63,1122.47,45.33,60.19,1083.76,208.34,154.42,6.52,72.55,17.41,280.68,2.26,9.06,44.82,7.07,35.57,3.15,53.66,0.57,8.9,0.42,7.06,6.08,87.63,90.78,58.09,395.05,504.41,8.7,581.01,28.96,895.55,107.04,165.83,4504.93,694.79,20.38,5.11,25.04,10.83,18.1,425.9,66.07,99.42,118.86,13.2,84.83,38.56,1597.74,18.72,3.63,6.27,2.64,162.15,1.36,9.4,0.19,3.85,0.34,7.96,20.49,20.08,7.61,9.81
3,1279.33,1071.15,43.26,57.43,1034.2,198.82,147.36,6.22,69.23,16.61,267.84,2.15,8.65,42.77,6.75,33.94,3.01,51.21,0.54,8.49,0.41,6.74,5.8,83.62,86.63,55.43,376.99,481.34,8.31,554.44,27.64,854.6,102.14,158.25,4298.93,663.02,19.45,4.88,23.89,10.34,17.28,406.42,63.05,94.87,113.42,12.6,80.95,36.8,1524.68,17.87,3.47,5.98,2.52,154.73,1.3,8.97,0.18,3.68,0.33,7.6,19.55,19.17,7.27,9.36
4,1215.62,1017.81,41.11,54.57,982.71,188.92,140.02,5.91,65.79,15.79,254.5,2.04,8.22,40.64,6.41,32.25,2.86,48.66,0.51,8.07,0.39,6.41,5.51,79.46,82.31,52.67,358.22,457.37,7.89,526.84,26.26,812.04,97.06,150.37,4084.87,630.01,18.48,4.64,22.7,9.82,16.42,386.18,59.91,90.15,107.77,11.97,76.92,34.97,1448.76,16.98,3.3,5.68,2.39,147.03,1.24,8.52,0.17,3.49,0.31,7.22,18.58,18.21,6.9,8.89
5,1158.28,969.8,39.17,52.0,936.35,180.01,133.41,5.63,62.68,15.04,242.5,1.95,7.83,38.72,6.11,30.73,2.72,46.36,0.49,7.69,0.37,6.1,5.25,75.71,78.43,50.19,341.32,435.8,7.52,501.99,25.02,773.74,92.48,143.28,3892.19,600.29,17.61,4.42,21.63,9.36,15.64,367.97,57.08,85.9,102.69,11.41,73.29,33.32,1380.42,16.18,3.14,5.41,2.28,140.09,1.18,8.12,0.16,3.33,0.3,6.88,17.7,17.35,6.58,8.47
6,1114.59,933.21,37.69,50.04,901.03,173.22,128.38,5.42,60.32,14.47,233.35,1.87,7.53,37.26,5.88,29.57,2.62,44.61,0.47,7.4,0.35,5.87,5.05,72.85,75.47,48.29,328.44,419.36,7.24,483.05,24.08,744.55,88.99,137.87,3745.36,577.64,16.94,4.25,20.82,9.01,15.05,354.09,54.93,82.66,98.82,10.98,70.53,32.06,1328.35,15.57,3.02,5.21,2.19,134.81,1.13,7.81,0.15,3.2,0.29,6.62,17.03,16.7,6.33,8.15
7,1091.27,913.7,36.9,48.99,882.18,169.59,125.7,5.31,59.06,14.17,228.47,1.84,7.38,36.48,5.76,28.95,2.57,43.68,0.46,7.25,0.35,5.75,4.95,71.33,73.89,47.28,321.57,410.59,7.09,472.94,23.58,728.98,87.13,134.99,3667.02,565.56,16.59,4.16,20.38,8.82,14.74,346.68,53.78,80.93,96.75,10.75,69.05,31.39,1300.56,15.24,2.96,5.1,2.15,131.99,1.11,7.65,0.15,3.14,0.28,6.48,16.68,16.35,6.2,7.98
8,1090.08,912.69,36.86,48.94,881.22,169.41,125.56,5.3,58.99,14.16,228.22,1.83,7.37,36.44,5.75,28.92,2.56,43.63,0.46,7.24,0.35,5.74,4.94,71.25,73.81,47.23,321.22,410.14,7.08,472.43,23.55,728.18,87.03,134.84,3663.0,564.94,16.57,4.16,20.36,8.81,14.72,346.3,53.72,80.84,96.64,10.73,68.97,31.36,1299.14,15.22,2.96,5.09,2.15,131.84,1.11,7.64,0.15,3.13,0.28,6.47,16.66,16.33,6.19,7.97
9,1104.85,925.06,37.36,49.6,893.15,171.7,127.26,5.37,59.79,14.35,231.31,1.86,7.47,36.94,5.83,29.31,2.6,44.22,0.47,7.34,0.35,5.82,5.01,72.22,74.81,47.87,325.57,415.69,7.17,478.83,23.87,738.04,88.21,136.67,3712.62,572.59,16.79,4.21,20.63,8.93,14.92,350.99,54.45,81.93,97.95,10.88,69.91,31.78,1316.74,15.43,3.0,5.16,2.17,133.63,1.12,7.75,0.15,3.18,0.28,6.56,16.89,16.55,6.27,8.08
