loc_index,lon,lat,mask,FIPS,distance_miles
0,-95.283,31.615,1.0,48001,23.503048364836964
1,-95.536,31.727,1.0,48001,6.80852113807109
2,-95.408,31.725,1.0,48001,14.223325858266442
3,-95.916,31.84,0.57928157,48001,16.886611578123933
4,-95.915,31.948,0.55332273,48001,20.64355761556233
5,-95.659,31.945,1.0,48001,13.151020075430981
6,-95.532,31.944,1.0,48001,14.71312972047524
7,-95.657,32.054,1.0,48001,20.65088786332869
0,-102.954,32.119,1.0,48003,27.342574336625024
1,-102.827,32.126,1.0,48003,20.96256966833747
3,-102.451,32.253,1.0,48003,7.530557665546573
4,-102.323,32.26,1.0,48003,14.040689499921433
5,-102.97,32.335,1.0,48003,24.475096343579963
6,-102.842,32.342,1.0,48003,17.029281157894047
7,-102.714,32.349,1.0,48003,9.675688889677444
9,-102.33,32.368,1.0,48003,13.388607490362228
0,-94.537,31.06,1.0,48005,21.274769647450203
1,-94.784,31.281,0.23797184,48005,4.353686207639061
2,-94.657,31.279,0.72159445,48005,5.1133599339614255
3,-94.908,31.392,0.15912521,48005,11.708316711622299
4,-94.654,31.387,1.0,48005,6.263079815317008
5,-94.527,31.384,0.74038005,48005,12.618585652395893
0,-97.061,27.854,0.15898211,48007,12.069848162881184
1,-96.939,28.283,1.0,48007,19.28769793039927
2,-96.817,28.283,1.0,48007,23.42034763814697
2,-98.497,33.462,1.0,48009,26.693281361001088
3,-98.89,33.565,1.0,48009,20.67963233673486
6,-98.499,33.571,1.0,48009,20.041736405336362
7,-98.762,33.676,1.0,48009,10.383893329993075
8,-98.632,33.678,1.0,48009,9.954925082701305
9,-98.501,33.679,1.0,48009,14.317311960770862
12,-98.503,33.788,1.0,48009,10.903399219737667
5,-98.629,33.569,0.9517503,48009,17.252936829405115
1,-101.305,34.804,1.0,48011,21.178194917093244
3,-101.576,34.902,1.0,48011,18.622038302803713
4,-101.444,34.907,1.0,48011,14.566878892699316
6,-101.179,34.917,1.0,48011,16.77016286594457
9,-101.185,35.026,1.0,48011,11.542588485601744
10,-101.324,35.13,1.0,48011,2.694558797871534
5,-101.311,34.912,0.6439488,48011,13.794594871372608
0,-101.57,34.794,0.40520114,48011,24.6009172949235
0,-98.779,28.699,1.0,48013,25.07454887275341
1,-98.656,28.701,1.0,48013,20.568353180039324
2,-98.411,28.704,1.0,48013,18.64117678066442
4,-98.781,28.806,1.0,48013,20.438733104231826
10,-98.788,29.129,1.0,48013,21.017616548238124
11,-98.542,29.133,1.0,48013,11.958263630888558
5,-98.535,28.81,0.87146986,48013,10.883470802576484
