FIPS,Selected_Locations,STATE,COUNTYNAME,city,lat,lon,population,Zone
48001,8,TX,Anderson,Palestine,31.7544,-95.6471,21957,1
48003,8,TX,Andrews,Andrews,32.3207,-102.552,14021,2
48005,6,TX,Angelina,Lufkin,31.3217,-94.7277,49465,3
48007,3,TX,Aransas,Rockport,28.029,-97.0722,13082,4
48009,8,TX,Archer,Holliday,33.8141,-98.6899,5501,5
48011,8,TX,Armstrong,Claude,35.1075,-101.3629,1470,6
48013,8,TX,Atascosa,Pleasanton,28.9642,-98.4957,22710,7
48015,6,TX,Austin,Sealy,29.7662,-96.163,15150,8
48019,8,TX,Bandera,Lakehills,29.6237,-98.9448,7669,9
48021,4,TX,Harriss,Elgin,30.3526,-97.3883,49508,10
48023,8,TX,Baylor,Seymour,33.5958,-99.258,2607,11
48025,8,TX,Bee,Beeville,28.4053,-97.749,16487,12
48027,5,TX,Bell,Killeen,31.0753,-97.7297,463894,13
48029,6,TX,Bexar,San Antonio,29.4632,-98.5238,2337598,14
48031,8,TX,Blanco,Blanco,30.0987,-98.4169,4383,15
48033,8,TX,Borden,Gail,32.767,-101.4465,323,16
48035,6,TX,Bosque,Clifton,31.7822,-97.5824,9892,17
48039,8,TX,Brazoria,Pearland,29.5581,-95.3218,275116,18
48041,3,TX,Brazos,College Station,30.5852,-96.2959,304592,19
48043,8,TX,Brewster,Alpine,30.364,-103.665,6584,20
48045,8,TX,Briscoe,Silverton,34.4714,-101.304,852,21
48047,8,TX,Brooks,Falfurrias,27.2243,-98.1452,4731,22
48049,7,TX,Brown,Brownwood,31.7127,-98.9767,26995,23
48051,5,TX,Burleson,Caldwell,30.5307,-96.7007,7843,24
48053,7,TX,Burnet,Marble Falls,30.5649,-98.2768,25816,25
48055,5,TX,Caldwell,Lockhart,29.8785,-97.6831,21284,26
48057,1,TX,Calhoun,Port Lavaca,28.6181,-96.6278,14485,27
48059,8,TX,Callahan,Clyde,32.4056,-99.5039,6716,28
48061,4,TX,Cameron,Brownsville,25.9975,-97.458,441091,29
48065,8,TX,Carson,Panhandle,35.3461,-101.3804,4678,30
48069,8,TX,Castro,Dimmitt,34.5324,-102.3111,5274,31
48071,5,TX,Chambers,Mont Belvieu,29.8518,-94.8775,22035,32
48073,8,TX,Cherokee,Jacksonville,31.9642,-95.2617,24996,33
48075,7,TX,Childress,Childress,34.4293,-100.2516,5964,34
48077,8,TX,Clay,Henrietta,33.8146,-98.1924,4885,35
