loc_index,lon,lat,mask,FIPS,distance_miles
0,-73.015,41.969,0.28922993,9003,22.107120219847957
0,-73.371,41.814,0.2575005,9005,12.616623300140768
1,-73.476,41.946,0.25539097,9005,19.506050178218658
2,-73.334,41.919,0.31350303,9005,12.098417431357948
3,-73.193,41.892,0.23829238,9005,5.167817933099721
4,-73.298,42.024,0.22576472,9005,15.713470500679328
5,-73.157,41.997,0.28752318,9005,11.285685054289189
0,-71.826,41.506,0.20903775,9011,13.9251183015105
0,-70.352,44.13,0.22442147,23001,9.526473661618065
1,-70.062,44.069,0.23492151,23001,5.504418273518929
2,-70.309,44.233,0.30695248,23001,12.020357219744675
3,-70.164,44.203,0.21847822,23001,7.701074126668552
4,-70.02,44.172,0.20320776,23001,9.226544453202052
5,-70.267,44.337,0.3372582,23001,17.647575215517207
6,-70.122,44.307,0.2881847,23001,15.0542251228473
7,-70.224,44.441,0.3305098,23001,24.290142764384807
59,-68.908,46.752,0.9006242,23003,43.96491281306759
80,-69.569,47.114,0.8972808,23003,80.48651442232533
113,-69.28,47.391,0.8865122,23003,78.05303444805769
40,-69.855,46.836,0.87264305,23003,89.24792422075998
67,-69.614,47.011,0.8623556,23003,80.27320560428002
58,-69.058,46.784,0.8573734,23003,51.28570257432957
103,-69.326,47.289,0.856573,23003,75.72288971071833
27,-69.899,46.733,0.8563699,23003,90.88193204817138
0,-70.622,43.848,0.25097314,23005,21.129435068359317
1,-70.724,43.982,0.28361186,23005,30.887077694448866
2,-70.683,44.086,0.21220106,23005,34.90621882600744
29,-70.615,45.421,0.85811436,23007,67.4415042934449
27,-70.658,45.317,0.843929,23007,61.40722159540434
22,-70.302,45.02,0.8426429,23007,36.883643842745265
3,-70.576,44.739,0.824608,23007,25.49390864485587
30,-70.573,45.524,0.7954091,23007,73.69013433593128
24,-70.7,45.214,0.78751796,23007,55.76909735261193
9,-70.534,44.843,0.7761336,23007,29.533882095094057
21,-70.449,45.05,0.7700129,23007,40.572944827825786
22,-68.371,45.057,0.7503265,23009,33.11196278805194
19,-68.417,44.954,0.7426085,23009,25.73535316263181
23,-68.226,45.024,0.7395795,23009,32.94587258650197
27,-68.133,45.23,0.7250951,23009,47.8350441636114
16,-68.463,44.851,0.6973058,23009,18.427709560673403
26,-68.034,45.094,0.6810163,23009,41.6318107244108
18,-68.172,44.786,0.6680908,23009,20.850618513588845
25,-68.179,45.127,0.6607956,23009,40.39637481925832
11,-69.412,44.494,0.39916763,23011,19.301317441401476
12,-69.513,44.628,0.3800444,23011,22.997911880515034
8,-69.848,44.587,0.32234582,23011,18.38170682110119
4,-70.036,44.514,0.30889165,23011,19.51195327672362
1,-70.079,44.41,0.28906924,23011,17.971310135820996
0,-69.688,44.214,0.28010958,23011,8.573540309468585
5,-69.891,44.483,0.27574527,23011,12.950274794909864
3,-69.644,44.318,0.25933957,23011,4.4962676895416696
0,-69.299,44.017,0.2132041,23013,11.099866719597308
1,-69.255,44.121,0.2380511,23013,5.890151901959216
2,-69.355,44.255,0.26079935,23013,13.964475367154748
3,-69.211,44.224,0.21329293,23013,7.61852606002616
0,-69.731,44.111,0.27283058,23015,16.99219726736753
1,-69.587,44.08,0.30617374,23015,9.928561388113366
2,-69.443,44.048,0.21209383,23015,4.542208908537861
3,-69.543,44.183,0.32657382,23015,9.478097784339667
4,-69.399,44.152,0.2628415,23015,3.5240818604395945
5,-69.5,44.287,0.3167691,23015,13.936840522636174
15,-70.994,44.487,0.91231465,23017,30.236868476467592
20,-70.952,44.591,0.8063329,23017,33.69815618089611
35,-70.89,45.14,0.7846129,23017,66.27519145587107
36,-70.995,45.273,0.7624918,23017,76.57274234409275
25,-70.911,44.695,0.7294358,23017,38.3526305701365
21,-70.806,44.561,0.7245451,23017,27.7579516051548
26,-70.764,44.665,0.6896442,23017,33.235352343437526
34,-71.037,45.169,0.6896404,23017,70.52256864193632
49,-68.784,45.938,0.8600388,23019,76.35894842785672
50,-68.636,45.906,0.7684224,23019,74.52905650798137
52,-68.738,46.041,0.7681394,23019,83.5112424383861
53,-68.59,46.008,0.76107913,23019,81.77682591229596
62,-68.451,46.317,0.7466403,23019,103.84915101822268
59,-68.497,46.214,0.7392642,23019,96.4791913772445
47,-68.682,45.803,0.73814565,23019,67.24302172653834
61,-68.599,46.349,0.7340609,23019,105.15628629653575
53,-68.932,45.969,0.90849537,23021,43.24784589590246
59,-68.886,46.072,0.8636016,23021,50.61494016412039
66,-69.689,46.466,0.83923244,23021,82.98410757015584
27,-69.261,45.589,0.82842827,23021,19.36179929778159
58,-69.035,46.104,0.82124835,23021,52.16573077410985
42,-69.57,45.992,0.8178328,23021,50.928902751429355
73,-69.495,46.538,0.81542003,23021,84.81833610519098
72,-69.644,46.569,0.81456304,23021,88.91319820188376
0,-69.918,44.038,0.23024213,23023,8.261258205237764
1,-69.774,44.007,0.2024426,23023,5.840932619390896
2,-69.875,44.142,0.2405022,23023,14.460077541909975
59,-70.165,46.115,0.9201006,23025,87.54317406419277
62,-70.121,46.218,0.8485327,23025,94.31333865454043
71,-69.988,46.527,0.83942574,23025,115.11385739176124
72,-69.839,46.497,0.83058065,23025,112.99383608815505
36,-70.53,45.628,0.83025867,23025,61.27464175513444
60,-70.016,46.084,0.82297164,23025,84.62860443322123
61,-69.867,46.054,0.8202455,23025,82.37386678148452
67,-69.778,46.26,0.8073618,23025,96.76235188596691
9,-69.324,44.7,0.45077437,23027,23.665353509617088
3,-69.267,44.462,0.4304199,23027,11.835826505014172
5,-69.368,44.597,0.42685863,23027,20.275421024171074
6,-69.223,44.566,0.38236246,23027,13.399958162076347
0,-69.456,44.39,0.3731974,23027,21.123501130227616
