FIPS,Selected_Locations,STATE,COUNTYNAME,city,lat,lon,population,Zone
9001,0,CT,Fairfield,Bridgeport,41.1918,-73.1954,1325645,1
9003,1,CT,Hartford,Hartford,41.7661,-72.6834,1109927,2
9005,6,CT,Litchfield,Torrington,41.8349,-73.1282,44826,3
9007,0,CT,Middlesex,Middletown,41.5476,-72.6549,59514,4
9009,0,CT,New Haven,New Haven,41.3113,-72.9246,1071648,5
9011,1,CT,New London,Norwich,41.5495,-72.0882,206016,6
9013,0,CT,Tolland,Vernon,41.8369,-72.4605,152691,7
9015,0,CT,Windham,Danielson,41.8086,-71.8854,6445,8
23001,8,ME,Androscoggin,Lewiston,44.0915,-70.1681,71740,9
23003,8,ME,Aroostook,Presque Isle,46.6868,-67.9874,17214,10
23005,3,ME,Cumberland,Portland,43.6773,-70.2715,277538,11
23007,8,ME,Franklin,Chisholm,44.4916,-70.1923,2230,12
23009,8,ME,Hancock,Ellsworth,44.5847,-68.4875,8960,13
23011,8,ME,Kennebec,Augusta,44.3341,-69.7319,44320,14
23013,4,ME,Knox,Rockland,44.1274,-69.1369,6991,15
23015,6,ME,Lincoln,Waldoboro,44.1014,-69.3897,35169,16
23017,8,ME,Oxford,South Paris,44.219,-70.5113,3116,17
23019,8,ME,Penobscot,Bangor,44.8323,-68.7906,53060,18
23021,8,ME,Piscataquis,Brownville Junction,45.3488,-69.0555,559,19
23023,3,ME,Sagadahoc,Bath,43.9346,-69.8346,8801,20
23025,8,ME,Somerset,North Anson,44.8614,-69.8975,420,21
23027,8,ME,Waldo,Belfast,44.4279,-69.0325,6985,22
23029,8,ME,Washington,Calais,45.134,-67.224,6010,23
23031,8,ME,York,Biddeford,43.4673,-70.4511,86649,24
25001,1,MA,Barnstable,South Yarmouth,41.6692,-70.2005,89763,25
25003,8,MA,Berkshire,Pittsfield,42.4517,-73.2605,57438,26
25005,0,MA,Bristol,New Bedford,41.6697,-70.9428,390637,27
25009,0,MA,Essex,Lynn,42.4781,-70.9664,498767,28
25011,8,MA,Franklin,Turners Falls,42.5975,-72.5573,8607,29
25013,6,MA,Hampden,Springfield,42.1155,-72.5395,574518,30
25015,7,MA,Hampshire,Northampton,42.3266,-72.6745,28640,31
25017,0,MA,Middlesex,Cambridge,42.3759,-71.1185,885539,32
25021,0,MA,Norfolk,Quincy,42.2506,-71.0187,105840,33
25023,0,MA,Plymouth,Brockton,42.0821,-71.0242,163980,34
25025,0,MA,Suffolk,Boston,42.3188,-71.0852,4454577,35
25027,5,MA,Worcester,Worcester,42.2705,-71.8079,687025,36
33001,4,NH,Belknap,Laconia,43.5725,-71.4775,20151,37
33003,8,NH,Carroll,North Conway,44.0415,-71.1224,5057,38
33005,8,NH,Cheshire,Keene,42.9494,-72.2998,24758,39
33007,8,NH,Coos,Berlin,44.4869,-71.2599,10712,40
33009,8,NH,Grafton,Lebanon,43.6353,-72.2531,17901,41
33011,8,NH,Hillsborough,Nashua,42.7491,-71.491,421136,42
33013,8,NH,Merrimack,Concord,43.2305,-71.5595,65329,43
33015,2,NH,Rockingham,Portsmouth,43.058,-70.7826,98309,44
33017,3,NH,Strafford,Dover,43.1887,-70.8845,117528,45
33019,8,NH,Sullivan,Claremont,43.379,-72.3368,13054,46
44003,1,RI,Kent,Warwick,41.7062,-71.4334,83880,47
44005,0,RI,Newport,Newport,41.4801,-71.3203,38131,48
44007,0,RI,Providence,Providence,41.823,-71.4187,1579882,49
44009,1,RI,Washington,Kingston,41.4738,-71.5236,18515,50
50001,8,VT,Addison,Vergennes,44.1664,-73.2557,3594,51
50003,8,VT,Bennington,Manchester Center,43.182,-73.0369,6195,52
50005,8,VT,Caledonia,Lyndonville,44.5351,-72.0017,2609,53
50007,5,VT,Chittenden,Burlington,44.4876,-73.2316,160333,54
50009,8,VT,Essex,Island Pond,44.8125,-71.8862,1347,55
50011,8,VT,Franklin,St. Albans,44.8119,-73.0849,9294,56
50013,0,VT,Grand Isle,South Hero,44.6479,-73.3017,183,57
50015,6,VT,Lamoille,Morrisville,44.5583,-72.5933,3811,58
50017,8,VT,Orange,Wells River,44.1538,-72.0615,339,59
50019,8,VT,Orleans,Newport,44.9372,-72.209,7870,60
50021,8,VT,Rutland,Rutland,43.6092,-72.9783,20260,61
50023,8,VT,Washington,Barre,44.1998,-72.5085,19859,62
50025,8,VT,Windham,Bellows Falls,43.1344,-72.455,7529,63
50027,8,VT,Windsor,Wilder,43.6804,-72.3168,9696,64
